Wavelength [nm],Dim,Moderate,Bright 
442,6.65E-05,1.37E-03,2.14E-02
443,6.60E-05,1.33E-03,2.04E-02
444,6.51E-05,1.30E-03,1.97E-02
445,6.21E-05,1.29E-03,1.94E-02
446,6.16E-05,1.29E-03,1.92E-02
447,6.26E-05,1.29E-03,1.91E-02
448,6.22E-05,1.29E-03,1.89E-02
449,6.17E-05,1.29E-03,1.87E-02
450,6.10E-05,1.28E-03,1.86E-02
451,6.09E-05,1.28E-03,1.85E-02
452,6.13E-05,1.28E-03,1.84E-02
453,6.00E-05,1.27E-03,1.82E-02
454,5.89E-05,1.26E-03,1.81E-02
455,5.85E-05,1.26E-03,1.80E-02
456,5.86E-05,1.26E-03,1.78E-02
457,5.89E-05,1.25E-03,1.76E-02
458,5.68E-05,1.23E-03,1.73E-02
459,5.47E-05,1.21E-03,1.69E-02
460,5.31E-05,1.18E-03,1.66E-02
461,5.12E-05,1.15E-03,1.62E-02
462,4.91E-05,1.12E-03,1.58E-02
463,4.78E-05,1.10E-03,1.56E-02
464,4.66E-05,1.08E-03,1.53E-02
465,4.53E-05,1.06E-03,1.49E-02
466,4.42E-05,1.04E-03,1.46E-02
467,4.35E-05,1.01E-03,1.44E-02
468,4.12E-05,9.88E-04,1.40E-02
469,3.92E-05,9.61E-04,1.37E-02
470,3.87E-05,9.29E-04,1.33E-02
471,3.77E-05,9.05E-04,1.30E-02
472,3.61E-05,8.86E-04,1.27E-02
473,3.57E-05,8.67E-04,1.24E-02
474,3.50E-05,8.45E-04,1.21E-02
475,3.28E-05,8.13E-04,1.17E-02
476,3.20E-05,7.92E-04,1.14E-02
477,3.24E-05,7.79E-04,1.12E-02
478,3.08E-05,7.58E-04,1.12E-02
479,2.99E-05,7.56E-04,1.15E-02
480,3.19E-05,8.21E-04,1.24E-02
481,3.60E-05,9.26E-04,1.41E-02
482,4.16E-05,1.06E-03,1.63E-02
483,4.99E-05,1.33E-03,2.03E-02
484,5.91E-05,1.62E-03,2.44E-02
485,7.11E-05,1.91E-03,2.86E-02
486,7.90E-05,2.11E-03,3.16E-02
487,8.40E-05,2.24E-03,3.37E-02
488,8.41E-05,2.24E-03,3.38E-02
489,8.31E-05,2.22E-03,3.34E-02
490,8.02E-05,2.17E-03,3.25E-02
491,7.63E-05,2.06E-03,3.11E-02
492,7.16E-05,1.93E-03,2.93E-02
493,6.70E-05,1.79E-03,2.71E-02
494,6.23E-05,1.66E-03,2.49E-02
495,5.70E-05,1.52E-03,2.28E-02
496,5.16E-05,1.39E-03,2.09E-02
497,4.60E-05,1.27E-03,1.89E-02
498,4.15E-05,1.13E-03,1.69E-02
499,3.68E-05,9.90E-04,1.47E-02
500,3.13E-05,8.45E-04,1.25E-02
501,2.66E-05,7.09E-04,1.06E-02
502,2.25E-05,5.81E-04,8.81E-03
503,1.91E-05,4.96E-04,7.56E-03
504,1.62E-05,4.24E-04,6.48E-03
505,1.49E-05,3.74E-04,5.82E-03
506,1.43E-05,3.37E-04,5.32E-03
507,1.41E-05,3.08E-04,4.93E-03
508,1.32E-05,3.01E-04,4.76E-03
509,1.26E-05,2.97E-04,4.63E-03
510,1.31E-05,2.96E-04,4.56E-03
